desc,carbs,fat,fiber,protein,pps
Used activity points.,,,,,
Used weekly points.,,,,,
Zoup! Pesto 3 Cheese (half),49.00,29.00,3.00,24.00,15.00
Zoup! Singapore Squash (8oz),31.00,10.00,2.00,4.00,6.00
Zoup! Country French,30.00,1.00,1.00,5.00,4.00
Bare Baked Carrots (40g bag),33.00,0.00,7.00,2.00,3.00
Wheat Thins Multigrain (14),22.00,4.00,2.00,2.00,3.00
Rib Roast (3oz/palm),0.00,13.00,0.00,21.00,5.00
Inglehoffer Thick and Creamy Horseradish (1teasp),1.00,0.50,0.00,0.00,0.00
Charm City Meadworks (Wildflower/12oz),50.00,0.00,0.00,0.00,5.00
Homemade Mead (1oz),20.00,0.00,0.00,0.00,2.00
Homemade Mead (8oz),160.00,0.00,0.00,0.00,17.00
Homemade Mead (w/ La Croix) (1oz),10.00,0.00,0.00,0.00,1.00
Gourmet Select White Cheddar Cheese Balls (46),16.00,10.00,0.00,1.00,4.00
Oui by Yoplait (Key Lime),19.00,7.00,0.00,5.00,4.00
Sodexo Chipotle Chicken Wrap,32.00,9.00,4.00,25.00,8.00
Lays Ruffle Chips,15.00,10.00,1.00,2.00,4.00
M&Ms Fun Size,9.30,2.80,0.00,0.60,2.00
Turkey Soup,,,,,4.00
Stove-top Coconut Oil Popcorn,,,,,1.00
Oui by Yoplait (Lemon),19.00,7.00,0.00,5.00,4.00
McDonald's Sausage Burrito,24.00,17.00,1.20,13.00,8.00
McDonald's Artisan Grilled Chicken Sandwich,44.00,4.00,3.00,37.00,9.00
McDonald's medium fry,44.00,16.00,4.00,4.00,9.00
McDonald's Medium Fry,44.00,16.00,4.00,4.00,9.00
Champagne (4oz),,,,,2.00
"1/4 tbsp butter, green beans",,,,,1.00
Kit Kat Mini,5.60,2.00,0.00,0.00,1.00
Nestle Chocolate Bar Mini,6.00,2.00,0.00,0.00,1.00
Huevos Con Charizo,63.00,37.70,8.90,34.30,19.00
Corn chips,,,,,3.00
Retried Beans,68.00,5.00,23.00,24.00,9.00
Mexican Rice,,,,,7.00
Avocado Oil (1tspn),0.00,4.50,0.00,0.00,1.00
"Mozzarella Cheese, Shredded (1cup)",3.50,19.00,0.00,31.00,8.00
[adder],,,,,2.00
Raw Eastern Farmes Oysters (6),4.60,1.30,0.00,4.40,1.00
Raw Oysters (6 medium),4.60,1.30,0.00,4.40,1.00
McDonald's Triple Cheeseburger,35.00,28.00,2.00,32.00,13.80
McDonald's Cheddar Bacon Onion Grilled Chicken Sandwich,50.00,26.00,4.00,53.00,16.70
McDonald's Bacon Clubhouse Burger,51.00,41.00,4.00,40.00,19.50
McDonald's Premium Grilled Chicken Bacon Clubhouse Sandwich,50.00,26.00,4.00,48.00,16.30
McDonald's Double Filet-O-Fish,48.00,26.00,2.00,28.00,14.40
McDonald's Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,69.00,40.00,5.00,39.00,21.00
McDonald's Buffalo Ranch McChicken,40.00,16.00,2.00,15.00,9.70
McDonald's Bacon Buffalo Ranch McChicken,40.00,21.00,2.00,20.00,11.50
McDonald's Bacon Cheddar McChicken,41.00,32.00,2.00,24.00,14.80
McDonald's Southern Style Buttermilk Crispy Chicken Sandwich,48.00,20.00,3.00,25.00,12.50
McDonald's Big Mac,45.00,28.00,3.00,25.00,14.20
McDonald's Quarter Pounder,38.00,20.00,2.00,26.00,11.50
McDonald's Quarter Pounder with Cheese,41.00,27.00,3.00,31.00,14.00
McDonald's Quarter Pounder Bacon & Cheese,48.00,29.00,3.00,36.00,15.80
McDonald's Double Quarter Pounder with Cheese,42.00,45.00,3.00,51.00,20.60
McDonald's Hamburger,31.00,8.00,1.00,13.00,6.60
McDonald's Hot 'n Spicy McChicken,39.00,22.00,3.00,14.00,11.00
McDonald's Cheeseburger,33.00,12.00,2.00,15.00,7.90
McDonald's BBQ Ranch Burger,37.00,15.00,3.00,16.00,9.10
McDonald's Grilled Onion Cheddar,32.00,13.00,2.00,15.00,8.10
McDonald's Double Cheeseburger,34.00,22.00,2.00,25.00,11.50
McDonald's McDouble,33.00,18.00,2.00,22.00,10.10
McDonald's Bacon McDouble,34.00,23.00,2.00,28.00,12.10
McDonald's Bacon Cheddar Hot 'n Spicy McChicken,41.00,32.00,3.00,24.00,14.70
McDonald's Daily Double,33.00,29.00,2.00,23.00,13.00
McDonald's Ranch Snack Wrap (Buttermilk Crispy),34.00,20.00,2.00,16.00,10.20
McDonald's Ranch Snack Wrap (Grilled),25.00,13.00,1.00,21.00,7.90
